Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
83,17012,0,86282412,70,227896050,10,46281694,49,42,613,700,470,222,830
84,121342,0,92930828,68,239239906,11,191593908,43,52,616,582,448,8,835
85,297301,0,37796315,71,570731805,11,363018001,43,55,612,819,456,63,824
86,337628,0,103525952,69,55788768,11,377752486,43,210,616,442,480,452,835
87,193802,0,125824984,69,739458570,10,4794814,44,328,621,70,494,370,823
88,15584,0,164041934,67,193230928,10,107269892,43,140,628,1558,449,122,834
89,4626,0,167344368,70,55877716,10,26521702,44,76,625,176,502,270,832
90,280848,0,7241802,69,801944018,10,104529944,43,16,621,1740,468,182,829
91,77939,0,65590577,68,197743465,10,18916933,44,15,615,329,469,189,847
92,110420,0,441394432,68,1541068,11,138651802,44,100,630,836,486,48,834
93,154111,0,4898231,67,66393167,10,460085523,44,93,609,311,488,3,834
94,28967,0,3410089,68,448179665,12,298049213,44,227,624,885,468,315,842
95,38687,0,111061121,71,54603461,10,7361227,43,13,623,397,481,93,831
96,58441,0,155686051,68,295571461,11,59742841,43,15,625,619,453,419,845
97,116561,0,119200379,70,55991563,13,296615371,43,5,630,365,467,329,832
98,172257,0,39193621,70,37539753,10,89563445,44,25,616,119,485,115,881
99,129546,0,196796162,71,69976888,12,176913526,43,132,625,1482,468,144,832
,,,,,,,,,,,,,,
,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
,189048.84,0.04,130225431.6,69.27,258803413.5,10.72,236895157.8,43.82,87.94,629.58,711.54,470.58,214.86,841.1
