Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
27,210139,0,310907115,69,130501159,9,357428721,44,265,600,283,443,35,798
28,4,0,37865876,73,299978118,11,309682022,39,206,599,56,467,80,795
29,24269,0,51592891,69,320241133,8,526056177,41,25,622,389,445,15,807
30,76666,0,43749716,66,74841492,8,153133282,41,156,601,550,455,318,855
31,482488,0,154038240,68,45470088,10,490582830,55,10,694,392,463,274,901
32,44263,0,545075797,72,469140409,7,82915051,41,241,874,7,536,705,821
33,774170,0,44659836,68,282433008,8,53148286,39,0,605,508,484,166,881
34,228017,0,34223629,71,951012645,7,985410193,41,13,889,1753,668,249,1497
35,297319,0,274531365,73,1029284199,8,35546903,44,123,624,973,465,525,1110
36,66962,0,87782508,71,322581506,13,532519126,75,28,655,1248,689,8,1112
37,650863,0,133815925,141,569514023,21,266645409,89,151,811,159,474,949,1421
38,241272,0,63221322,303,57053930,18,76573994,107,8,1519,1100,618,78,1200
39,229253,0,28614683,86,85951285,12,515298279,49,103,779,697,623,79,1263
40,270029,0,236626567,96,59401053,14,202854651,54,77,814,417,599,259,1126
41,663133,0,199766965,77,104932109,19,487199787,46,77,818,319,632,17,944
42,31480,0,80603116,80,78565958,14,222099732,49,370,820,488,631,246,1023
43,14528,0,644386,83,548189918,18,97129992,63,146,786,662,714,172,1088
44,77223,0,104196983,91,86927287,11,207169347,55,131,838,635,731,421,1061
45,583035,0,145729705,76,143614413,12,69613463,49,41,743,299,581,43,1000
46,174323,0,198431885,83,248667933,12,318910477,53,137,786,57,720,425,1062
47,4229,0,101621777,87,74984921,14,204797699,52,57,895,747,572,189,988
48,381867,0,39630515,90,33988089,12,154076205,54,13,850,1991,545,251,1075
49,342898,0,38834560,90,495182744,13,39842696,53,32,873,32,639,304,1053
50,275290,0,112135198,104,24963052,15,38840848,65,58,829,84,568,428,984
51,84244,0,100705568,123,202003838,17,40990654,64,54,930,156,605,928,1026
52,172872,0,252447096,86,123663706,15,82618718,51,92,787,186,632,20,1035
53,17043,0,22135991,75,226624087,10,157263543,48,29,689,543,507,333,1083
54,174059,0,76608213,87,124694095,14,65969593,49,9,776,235,618,9,1059
55,2109765,0,126453667,90,165204067,17,95726165,47,31,718,69,561,5,1141
56,265598,1,91969946,98,1127028482,16,411237188,46,142,736,1192,553,220,968
57,38566,0,67997038,91,266679556,10,119816696,45,66,765,34,564,268,1153
58,28377,0,131399851,86,134176291,12,387631467,38,1,805,487,616,27,1070
59,1569189,0,175210873,91,379089115,12,50247561,43,147,747,327,686,73,1102
60,578932,0,377144882,94,236252856,20,615588010,87,78,799,28,613,286,1039
61,128675,0,100882905,71,230635453,12,254971505,63,87,773,823,629,93,929
62,267429,0,7386995,73,411568609,12,218538541,51,47,816,101,618,805,1065
63,27729,0,94477033,85,78435569,14,60379063,51,7,725,817,701,405,1150
64,2670,0,110534738,79,202409598,12,349214220,47,36,757,26,601,400,1030
65,815179,0,35020303,92,492797517,14,899584497,60,165,877,475,607,31,963
66,139493,0,126188331,72,251647375,10,1633639,45,33,714,161,542,249,1011
67,733961,0,283915043,88,70395723,13,39519827,57,135,730,345,530,285,1000
68,456233,0,5655823,82,208742275,14,448448847,52,59,819,81,549,205,1073
69,5169,0,44349227,93,1964566029,13,1491041173,55,21,737,231,699,35,1129
70,2504,0,138226854,85,81088160,14,1026470,52,50,807,370,597,70,1076
71,276828,0,3469288,73,198092194,12,338534124,46,24,846,264,591,74,1033
72,141475,0,202244053,86,479115745,9,1063125,53,169,771,2077,613,31,981
73,44994,0,111047902,74,575540960,11,103280528,46,164,709,446,552,22,1109
74,89419,0,64072241,91,147278251,9,323974065,52,3,761,2739,558,13,1073
75,72138,0,197703888,88,614893814,12,1271702,53,60,785,640,566,84,1059
76,464421,0,21174639,87,248699963,13,149758183,54,125,783,689,573,693,1052
77,131469,0,157215965,74,42487695,10,9625755,47,135,697,143,604,217,1051
78,300264,0,43134618,88,469005872,10,83941954,57,38,789,102,587,82,1022
79,154858,0,547830120,85,124662986,12,143272386,53,48,828,236,735,792,1019
80,345218,0,60210582,72,427377646,11,114809270,46,70,698,94,641,348,1032
81,175787,0,32676867,73,390328891,11,799539135,46,127,878,425,610,85,1062
82,63180,0,17964726,88,61562964,13,90203098,52,0,744,878,596,544,1058
83,160440,0,319202738,74,186125570,12,396597748,52,18,832,832,646,44,1024
84,308057,0,227215,86,944319217,14,799550031,51,65,784,685,593,127,1024
85,92890,0,92932018,91,46188784,10,94001606,58,54,854,410,606,426,1038
86,1437,0,5243515,79,46288813,11,90119283,47,43,804,29,585,285,1054
87,1655955,0,90828709,93,247198705,14,528830581,59,153,748,81,694,103,989
88,101198,0,226280034,72,362390792,13,143033098,48,12,747,52,620,148,1042
89,78417,0,262658575,73,431425425,12,348165935,46,43,762,733,614,57,1003
90,127104,0,37408572,87,227066162,13,54766758,53,78,797,302,619,110,1028
91,164814,0,10121264,86,334045310,12,90355144,53,158,842,72,548,2,1031
92,427722,0,42376740,82,338231394,17,100251344,55,350,814,118,575,268,991
93,349491,0,280563937,85,110314515,13,79260943,54,57,765,49,573,53,1051
94,270654,0,228490490,90,493208020,9,744708232,46,80,697,8,630,528,1061
95,37555,0,23535531,99,49779125,13,356566933,60,31,912,401,585,67,1010
96,49186,0,1797784,88,41414720,13,44777934,55,212,825,784,585,56,971
97,6313,0,274050397,85,119452293,11,224090993,51,145,699,393,500,217,1057
98,42245,0,60137391,93,17758295,14,582279991,45,69,763,725,595,289,1131
99,311993,0,24110451,83,460068501,10,171827639,51,141,757,209,590,291,1034
