Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
0,2276384,1,42730916,83,131701910,14,461248050,56,26,722,326,514,42,929
1,35139,0,62698049,73,193206047,9,48970473,49,51,708,1551,435,23,872
2,141518,0,271839072,68,875749170,8,168227564,49,102,626,488,483,54,849
3,283149,0,102660473,69,206410727,7,254400473,63,145,668,845,472,463,924
4,139608,0,95911626,72,89748638,9,142622806,44,148,742,574,445,106,956
5,48515,0,422795145,73,130642271,9,92467895,42,31,652,153,496,779,792
6,60833,0,187945137,67,78151663,9,13160187,42,79,633,3713,442,273,827
7,64897,0,278056915,78,93446725,9,508488905,39,33,605,647,434,133,857
8,269438,0,111712150,68,659108164,9,326625076,41,26,609,360,446,2,790
9,527,0,69942437,65,1577257801,9,671983503,42,41,607,903,444,3,797
10,314491,0,141078633,67,535672675,8,73577141,38,11,606,415,463,145,800
11,2141590,0,389629018,66,500752364,8,254820426,42,200,625,322,512,664,802
12,41076,0,131918616,66,192088204,9,330423468,41,10,607,116,462,96,788
13,332343,0,552379,68,221528265,8,8269799,40,35,614,1239,442,159,797
14,97330,0,113270976,70,78275374,8,187938774,38,74,611,1992,450,272,823
15,167264,0,168334560,73,530255002,9,425223382,44,28,626,48,443,42,790
16,132349,0,310865049,67,19397717,8,357431073,39,49,618,147,486,397,869
17,29411,0,235804473,72,429326223,9,253409999,43,15,657,375,479,333,795
18,2755155,0,70393509,69,234215315,9,92631199,44,25,600,195,472,139,806
19,63214,0,29722500,73,855240826,8,48098454,45,60,615,70,458,2,799
20,88352,0,195560246,66,540481186,8,1316932106,41,10,608,116,422,78,833
21,35433,0,661695853,76,137994641,10,606968341,48,13,621,565,463,639,799
22,1341450,0,520489820,70,58496512,9,330253824,39,90,610,1164,434,90,783
23,47350,0,8158806,69,21289914,9,21803812,38,0,635,34,457,208,790
24,102543,0,74117675,66,161042265,9,5208353,40,25,602,2245,447,103,812
25,89811,0,95963769,67,57035803,9,59865907,38,85,618,1319,451,5,808
26,61292,0,115195814,66,30061622,8,208818624,38,256,600,628,463,2,794
