Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
80,52941,0,1893709,65,437445335,10,559443187,87,47,598,7995955,492,223,814
81,666371,0,766179915,69,356624837,10,151550845,88,1,591,3225073,497,49,829
82,812082,0,215366848,67,122645386,9,157673860,87,50,591,4564088,495,42,808
83,247460,0,24757190,66,61170746,11,59780452,85,96,590,2368668,498,296,818
84,58787,0,51744071,73,699930505,9,16051267,84,11,598,8574249,498,691,817
85,66193,0,214905963,65,907237229,11,32402939,84,117,593,18726671,501,593,812
86,521679,0,245940975,65,1095998503,10,140047405,87,145,584,6513471,492,379,809
87,343042,0,694259308,65,38933614,9,31996576,88,54,599,11423434,510,66,808
88,490797,0,28579765,69,660344649,10,418402453,85,69,588,4966885,490,33,824
89,101168,0,112140520,65,1564323916,10,673022888,84,114,590,2815732,498,28,814
90,294491,0,98233743,65,57837925,10,88461827,88,35,595,2141123,495,361,813
91,18865,0,295854673,68,231422667,10,45221073,86,11,590,52953983,495,155,822
92,84334,0,68859976,65,1154792602,9,16088026,87,60,599,8861356,495,350,817
93,224271,0,11412295,67,57980751,9,5829241,88,63,591,2420917,513,33,810
94,27542,0,30300716,68,118637708,9,425217916,87,82,616,18225326,536,368,895
95,1760637,0,121395249,72,602274587,10,52811611,89,29,648,492875,502,169,810
96,90060,0,143868160,65,163407226,12,80410210,91,174,595,238274,497,214,807
97,111460,0,296892810,66,37266524,12,125069632,85,12,586,937452,501,242,809
98,59537,0,39623551,66,265409533,12,104088651,85,253,591,4750229,500,161,816
99,477606,0,281714286,69,880156178,11,466403898,83,42,593,1231002,499,76,812
100,66170,1,19378486,66,201473988,9,256173600,87,84,589,1442982,502,6,809
,,,,,,,,,,,,,,
,312430.78,0.05,149286135.1,66.84,355535649.2,9.91,143253885.8,87.09,80.9,597.24,7498451.92,501.97,231.92,818.35
