Rep,karmKarp,karmKarpTime,rand1,rand1Time,hill1,hill1Time,anneal1,anneal1Time,rand2,rand2Time,hill2,hill2Time,anneal2,anneal2Time
0,73277,2,274980901,80,208885213,14,47294299,50,109,675,3299645,516,55,789
1,23436,0,184425790,67,241543434,8,165962332,46,220,585,3794058,505,2,789
2,97274,0,12994058,65,240679090,7,1043944082,54,6,595,461218,520,74,780
3,1623,0,63586593,64,272332653,9,206712059,44,291,597,29323,500,67,775
4,454919,0,11127577,65,33791281,9,3618607,44,69,591,32723491,502,127,790
5,465671,0,58946823,70,751618083,9,73494369,41,141,596,7494613,510,281,784
6,263910,0,85170496,66,232196382,12,69733112,41,406,592,10259282,506,430,810
7,128895,0,24743779,68,12765571,12,170853887,45,5,620,1635839,529,155,786
8,160068,0,311266018,69,34247230,9,940933364,43,20,610,6710438,501,134,781
9,98564,0,3504712,65,521113430,10,408952152,41,110,596,45984,501,74,772
10,3371280,0,35085382,68,63871848,10,6075662,42,200,595,3355044,506,94,790
11,8419,0,400698105,66,225567763,10,160245689,40,17,597,9231151,502,243,797
12,107993,0,15554165,66,437057287,9,8764023,41,97,590,12418457,506,151,791
13,33098,0,72046930,66,41610962,10,204256294,40,240,603,1014954,499,82,773
14,82305,0,176685333,67,141401301,10,444701845,44,131,597,1616873,499,253,791
15,495985,0,185033213,69,242810271,9,127990265,40,105,609,814723,502,329,788
16,114464,0,7535782,72,421566014,10,636262332,40,44,598,7053028,499,552,788
17,351929,0,151587609,70,431608255,9,76103535,40,19,600,8147925,500,185,786
18,5125,0,515101973,74,106570187,10,223601789,41,23,595,82898731,500,255,782
19,956634,0,89470434,65,177035528,10,317653228,42,64,601,19980956,511,206,774
20,148875,0,14794021,68,182810067,9,9776555,40,123,600,214121,505,189,789
21,1054442,0,115358762,68,18144368,12,12272056,42,4,596,10394624,503,176,776
22,292613,0,147652325,65,2206057971,10,42617079,40,13,596,35784347,501,81,780
23,49021,0,37178679,65,787514085,10,66539595,46,101,627,2336769,539,1,799
24,152412,0,99613450,65,17091610,10,1647412340,40,24,605,5914972,506,16,777
25,61656,0,68656916,65,468787600,9,417374236,41,46,591,1149506,495,22,774
26,55622,0,22689220,65,589825834,10,514948070,40,154,589,822276,506,220,789
27,95529,0,201113481,65,372014103,9,589560933,41,83,603,4331247,510,203,780
28,25306,0,628964726,68,37736140,10,303474152,40,4,590,2820670,510,178,796
29,894346,0,163413804,66,23611218,10,84051376,40,146,611,2239228,510,434,803
30,383,0,24080179,66,853835333,10,10009461,41,105,599,4757725,501,729,787
31,21939,0,50037807,70,421302875,9,452784985,41,45,604,112943,507,139,797
32,813532,0,149862110,64,473306220,10,324656192,41,50,598,5717876,507,128,778
33,38730,0,33187172,65,12528508,10,213553908,42,64,601,3828302,500,696,778
34,27014,0,156278554,68,1005902328,10,9551456,40,30,601,259072,508,32,784
35,153079,0,82971323,67,92336781,10,591166091,41,125,609,14150091,505,17,783
36,81730,0,171107308,65,188483172,10,727335054,43,20,599,9039262,508,396,791
37,270213,0,25741473,67,59945191,10,265516679,39,67,591,5910735,511,87,785
38,94507,0,184808123,69,702006533,11,60832401,40,111,597,24020335,509,325,785
39,14545,0,99937207,65,139284059,13,166784909,40,41,600,859041,535,337,810
40,406158,0,883433470,69,139688692,10,132078350,45,88,601,31213852,502,106,788
41,27082,0,145031134,65,8513726,10,105923670,41,226,607,4428628,517,316,781
42,278153,0,178358241,68,444809437,10,471045009,40,337,609,6952253,514,565,782
43,22571,0,335005083,66,201997993,10,415257535,40,33,598,3535093,501,695,776
44,126944,0,61920406,66,158987590,10,307157754,40,152,592,2299504,503,274,811
45,166395,0,13312495,65,449655159,10,241038237,40,177,599,13802667,504,7,783
46,7765,0,262275995,65,312453481,10,272521801,40,3,587,2464289,506,111,775
47,582790,0,213814576,65,1297469616,10,100876096,43,24,591,349612,499,24,779
48,932610,0,315809564,68,402359714,10,521240350,40,90,596,1273372,497,208,777
49,260897,0,163418207,66,71983817,10,931879649,41,163,587,1069013,500,21,785
50,36091,0,13010387,66,238909215,10,150166623,43,21,591,1254103,506,15,789
51,43541,0,18554885,65,67648691,10,400411921,40,11,598,242847,497,369,772
52,277817,0,75546537,65,112086139,10,22656247,40,19,591,1252199,500,39,781
53,51415,0,106804667,67,887079871,9,377161667,43,87,598,718357,500,813,791
54,22185,0,52092625,65,332228419,10,822938123,40,27,596,3101901,496,15,777
55,22112,0,66442644,67,19431872,10,40757566,40,28,593,58416406,504,280,816
56,16400,0,48240302,73,1411494470,10,64577398,40,60,636,15497924,497,166,790
57,23136,0,52356420,66,554251068,9,93686284,40,42,598,47000,499,432,788
58,193202,0,38746312,68,116113102,10,160247612,41,72,591,12877488,502,758,771
59,61157,0,124468977,67,137087787,9,201351029,42,45,594,3928063,496,493,789
60,52359,0,146369487,66,82891137,10,856370671,41,59,592,2624371,497,129,770
61,524072,0,211646618,65,19120348,9,517780,41,84,588,2365296,497,540,777
62,158841,0,81582445,65,47347173,10,192475625,40,153,590,2839529,495,179,785
63,53926,0,157480464,67,207847148,10,133927738,41,110,596,1859052,502,324,772
64,89908,0,24264402,66,36182642,10,371011908,40,20,590,4420246,499,22,779
65,242155,0,176098731,65,212214413,9,78344155,46,5,602,3536637,503,35,783
66,25052,0,73191520,66,328955198,10,40264490,41,108,604,4082126,500,32,787
67,1561612,0,8880910,67,239566166,10,76492210,40,70,594,384474,499,294,780
68,88095,0,275526915,68,428707331,10,39913895,42,203,597,1607429,499,27,781
69,35303,0,178938519,68,998467411,9,200885453,40,91,591,681621,503,321,782
70,1496,0,184183182,67,255497322,11,91745960,40,52,591,3310092,499,266,773
71,44772,0,24082268,68,432324266,9,835283062,41,2,590,15843498,498,22,783
72,206942,0,24599660,70,245559150,10,216247444,42,54,622,1181716,535,292,816
73,177942,0,53621756,69,66236618,10,298904018,40,222,608,9334108,510,694,824
74,285311,0,63501671,64,1238689873,10,140690175,40,27,598,1882023,501,27,789
75,3174,0,94666988,67,88172942,10,509848180,40,80,596,1359770,502,132,777
76,45366,0,342798318,69,44273632,9,60595560,41,18,608,20150124,495,194,779
77,37837,0,34342533,66,344236721,10,1642017,44,69,597,2899925,510,201,810
78,170432,1,5593216,67,179246472,10,460627374,41,38,611,41244,499,72,801
79,170436,0,277062452,65,19622026,11,14892056,40,6,609,9196370,517,322,797
80,551223,0,253684995,68,572903471,9,329300789,40,23,619,66593,501,111,774
81,247434,0,90317172,64,148892898,9,324224558,42,84,593,8289634,504,242,774
82,119484,0,176455214,66,317702906,9,726651720,44,32,602,1022430,507,432,796
83,133447,0,139357839,67,415622453,10,417499969,41,25,590,200283,510,61,814
84,324046,0,15337798,66,60069484,10,57158642,41,92,614,613530,520,596,806
